cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
4096,32,2,1,1,0.371203,977649
4096,32,2,1,0,0.423755,874265
4096,32,2,0,1,0.371203,837033
4096,32,2,0,0,0.423755,784993
4096,32,4,1,1,0.365649,967101
4096,32,4,1,0,0.417624,864587
4096,32,4,0,1,0.365649,827989
4096,32,4,0,0,0.417624,776507
4096,32,8,1,1,0.364841,965385
4096,32,8,1,0,0.416678,862799
4096,32,8,0,1,0.364841,826673
4096,32,8,0,0,0.416678,775087
4096,32,16,1,1,0.364875,966041
4096,32,16,1,0,0.417237,863101
4096,32,16,0,1,0.364875,826729
4096,32,16,0,0,0.417237,774901
4096,32,32,1,1,0.365056,967087
4096,32,32,1,0,0.417568,863448
4096,32,32,0,1,0.365056,827023
4096,32,32,0,0,0.417568,774904
4096,64,2,1,1,0.303954,850748
4096,64,2,1,0,0.353698,769657
4096,64,2,0,1,0.303954,727532
4096,64,2,0,0,0.353698,683881
4096,64,4,1,1,0.300287,843929
4096,64,4,1,0,0.349098,763847
4096,64,4,0,1,0.300287,721561
4096,64,4,0,0,0.349098,678583
4096,64,8,1,1,0.29858,840886
4096,64,8,1,0,0.346901,761190
4096,64,8,0,1,0.29858,718782
4096,64,8,0,0,0.346901,675854
4096,64,16,1,1,0.298786,841782
4096,64,16,1,0,0.347503,761874
4096,64,16,0,1,0.298786,719118
4096,64,16,0,0,0.347503,676106
4096,64,32,1,1,0.29867,842129
4096,64,32,1,0,0.347851,762073
4096,64,32,0,1,0.29867,718929
4096,64,32,0,0,0.347851,675913
4096,128,2,1,1,0.270847,786305
4096,128,2,1,0,0.322981,716786
4096,128,2,0,1,0.270847,673625
4096,128,2,0,0,0.322981,633858
4096,128,4,1,1,0.264476,774571
4096,128,4,1,0,0.31367,707168
4096,128,4,0,1,0.264476,663251
4096,128,4,0,0,0.31367,625088
4096,128,8,1,1,0.263044,771888
4096,128,8,1,0,0.311383,705044
4096,128,8,0,1,0.263044,660920
4096,128,8,0,0,0.311383,623100
4096,128,16,1,1,0.262571,771494
4096,128,16,1,0,0.311374,704390
4096,128,16,0,1,0.262571,660150
4096,128,16,0,0,0.311374,622054
4096,128,32,1,1,0.262503,771702
4096,128,32,1,0,0.311529,704778
4096,128,32,0,1,0.262503,660038
4096,128,32,0,0,0.311529,622122
4096,256,2,1,1,0.261402,755702
4096,256,2,1,0,0.325049,704609
4096,256,2,0,1,0.261402,658246
4096,256,2,0,0,0.325049,625209
4096,256,4,1,1,0.249967,734794
4096,256,4,1,0,0.309439,687712
4096,256,4,0,1,0.249967,639626
4096,256,4,0,0,0.309439,609256
4096,256,8,1,1,0.245848,727600
4096,256,8,1,0,0.301753,681444
4096,256,8,0,1,0.245848,632920
4096,256,8,0,0,0.301753,603316
4096,256,16,1,1,0.24424,725102
4096,256,16,1,0,0.299173,679484
4096,256,16,0,1,0.24424,630302
4096,256,16,0,0,0.299173,601140
16384,32,2,1,1,0.290193,816245
16384,32,2,1,0,0.326283,731506
16384,32,2,0,1,0.290193,705125
16384,32,2,0,0,0.326283,663186
16384,32,4,1,1,0.29131,819529
16384,32,4,1,0,0.327568,733831
16384,32,4,0,1,0.29131,706945
16384,32,4,0,0,0.327568,664527
16384,32,8,1,1,0.292106,822600
16384,32,8,1,0,0.329645,736460
16384,32,8,0,1,0.292106,708240
16384,32,8,0,0,0.329645,665612
16384,32,16,1,1,0.292948,824812
16384,32,16,1,0,0.330883,737964
16384,32,16,0,1,0.292948,709612
16384,32,16,0,0,0.330883,666412
16384,32,32,1,1,0.296263,832409
16384,32,32,1,0,0.335736,744283
16384,32,32,0,1,0.296263,715009
16384,32,32,0,0,0.335736,671187
16384,64,2,1,1,0.229353,704205
16384,64,2,1,0,0.263414,639354
16384,64,2,0,1,0.229353,606061
16384,64,2,0,0,0.263414,572410
16384,64,4,1,1,0.229396,705347
16384,64,4,1,0,0.264076,640328
16384,64,4,0,1,0.229396,606131
16384,64,4,0,0,0.264076,572328
16384,64,8,1,1,0.229972,707317
16384,64,8,1,0,0.265116,641854
16384,64,8,0,1,0.229972,607069
16384,64,8,0,0,0.265116,572966
16384,64,16,1,1,0.230453,708621
16384,64,16,1,0,0.266019,642988
16384,64,16,0,1,0.230453,607853
16384,64,16,0,0,0.266019,573692
16384,64,32,1,1,0.232358,713274
16384,64,32,1,0,0.269398,646474
16384,64,32,0,1,0.232358,610954
16384,64,32,0,0,0.269398,576018
16384,128,2,1,1,0.193185,635730
16384,128,2,1,0,0.225436,579924
16384,128,2,0,1,0.193185,547170
16384,128,2,0,0,0.225436,516804
16384,128,4,1,1,0.19199,634248
16384,128,4,1,0,0.224542,578484
16384,128,4,0,1,0.19199,545224
16384,128,4,0,0,0.224542,514892
16384,128,8,1,1,0.192261,635073
16384,128,8,1,0,0.225088,579293
16384,128,8,0,1,0.192261,545665
16384,128,8,0,0,0.225088,515341
16384,128,16,1,1,0.191543,634240
16384,128,16,1,0,0.224465,578598
16384,128,16,0,1,0.191543,544496
16384,128,16,0,0,0.224465,514182
16384,128,32,1,1,0.192429,636778
16384,128,32,1,0,0.227079,580894
16384,128,32,0,1,0.192429,545938
16384,128,32,0,0,0.227079,515358
16384,256,2,1,1,0.170572,583910
16384,256,2,1,0,0.207325,546905
16384,256,2,0,1,0.170572,510350
16384,256,2,0,0,0.207325,487601
16384,256,4,1,1,0.168032,578117
16384,256,4,1,0,0.20484,544355
16384,256,4,0,1,0.168032,506213
16384,256,4,0,0,0.20484,485643
16384,256,8,1,1,0.167787,577774
16384,256,8,1,0,0.204556,543901
16384,256,8,0,1,0.167787,505814
16384,256,8,0,0,0.204556,485173
16384,256,16,1,1,0.167395,577201
16384,256,16,1,0,0.204169,543375
16384,256,16,0,1,0.167395,505177
16384,256,16,0,0,0.204169,484559
16384,256,32,1,1,0.168836,580938
16384,256,32,1,0,0.207604,546624
16384,256,32,0,1,0.168836,507522
16384,256,32,0,0,0.207604,486440
65536,32,2,1,1,0.210141,638498
65536,32,2,1,0,0.223205,576603
65536,32,2,0,1,0.210141,574778
65536,32,2,0,0,0.223205,544539
65536,32,4,1,1,0.194767,606394
65536,32,4,1,0,0.207307,552429
65536,32,4,0,1,0.194767,549746
65536,32,4,0,0,0.207307,523333
65536,32,8,1,1,0.189024,594194
65536,32,8,1,0,0.200704,542381
65536,32,8,0,1,0.189024,540394
65536,32,8,0,0,0.200704,514741
65536,32,16,1,1,0.186977,590262
65536,32,16,1,0,0.198194,538701
65536,32,16,0,1,0.186977,537062
65536,32,16,0,0,0.198194,511525
65536,32,32,1,1,0.186569,589533
65536,32,32,1,0,0.197772,537991
65536,32,32,0,1,0.186569,536397
65536,32,32,0,0,0.197772,510919
65536,64,2,1,1,0.168216,568050
65536,64,2,1,0,0.180516,522325
65536,64,2,0,1,0.168216,506514
65536,64,2,0,0,0.180516,483037
65536,64,4,1,1,0.157985,546022
65536,64,4,1,0,0.167842,503945
65536,64,4,0,1,0.157985,489854
65536,64,4,0,0,0.167842,467617
65536,64,8,1,1,0.153888,537479
65536,64,8,1,0,0.162219,495069
65536,64,8,0,1,0.153888,483183
65536,64,8,0,0,0.162219,461061
65536,64,16,1,1,0.150255,530660
65536,64,16,1,0,0.158118,488703
65536,64,16,0,1,0.150255,477268
65536,64,16,0,0,0.158118,455511
65536,64,32,1,1,0.14814,526744
65536,64,32,1,0,0.155384,484779
65536,64,32,0,1,0.14814,473824
65536,64,32,0,0,0.155384,452011
65536,128,2,1,1,0.149511,537505
65536,128,2,1,0,0.16209,498507
65536,128,2,0,1,0.149511,476057
65536,128,2,0,0,0.16209,454667
65536,128,4,1,1,0.147805,532134
65536,128,4,1,0,0.158105,492298
65536,128,4,0,1,0.147805,473278
65536,128,4,0,0,0.158105,451514
65536,128,8,1,1,0.147831,530920
65536,128,8,1,0,0.157155,491375
65536,128,8,0,1,0.147831,473320
65536,128,8,0,0,0.157155,451783
65536,128,16,1,1,0.149008,532542
65536,128,16,1,0,0.157985,493294
65536,128,16,0,1,0.149008,475238
65536,128,16,0,0,0.157985,453862
65536,128,32,1,1,0.149864,533479
65536,128,32,1,0,0.158724,494506
65536,128,32,0,1,0.149864,476631
65536,128,32,0,0,0.158724,455354
65536,256,2,1,1,0.132612,497820
65536,256,2,1,0,0.150956,475353
65536,256,2,0,1,0.132612,448540
65536,256,2,0,0,0.150956,434961
65536,256,4,1,1,0.131438,494077
65536,256,4,1,0,0.147452,471584
65536,256,4,0,1,0.131438,446629
65536,256,4,0,0,0.147452,433232
65536,256,8,1,1,0.130935,491986
65536,256,8,1,0,0.145513,469691
65536,256,8,0,1,0.130935,445810
65536,256,8,0,0,0.145513,432667
65536,256,16,1,1,0.130832,491874
65536,256,16,1,0,0.145118,469455
65536,256,16,0,1,0.130832,445642
65536,256,16,0,0,0.145118,432455
65536,256,32,1,1,0.130961,492108
65536,256,32,1,0,0.145122,469838
65536,256,32,0,1,0.130961,445852
65536,256,32,0,0,0.145122,432694
262144,32,2,1,1,0.134942,478174
262144,32,2,1,0,0.142371,451574
262144,32,2,0,1,0.134942,452334
262144,32,2,0,0,0.142371,435726
262144,32,4,1,1,0.137036,479783
262144,32,4,1,0,0.144593,455465
262144,32,4,0,1,0.137036,455743
262144,32,4,0,0,0.144593,441137
262144,32,8,1,1,0.140453,484084
262144,32,8,1,0,0.147525,460583
262144,32,8,0,1,0.140453,461308
262144,32,8,0,0,0.147525,447263
262144,32,16,1,1,0.144546,489628
262144,32,16,1,0,0.151188,466395
262144,32,16,0,1,0.144546,467972
262144,32,16,0,0,0.151188,454155
262144,32,32,1,1,0.146683,492619
262144,32,32,1,0,0.153037,469253
262144,32,32,0,1,0.146683,471451
262144,32,32,0,0,0.153037,457461
262144,64,2,1,1,0.0912296,405814
262144,64,2,1,0,0.100679,397048
262144,64,2,0,1,0.0912296,381158
262144,64,2,0,0,0.100679,377240
262144,64,4,1,1,0.0933791,407490
262144,64,4,1,0,0.101964,398941
262144,64,4,0,1,0.0933791,384658
262144,64,4,0,0,0.101964,380925
262144,64,8,1,1,0.0960187,410028
262144,64,8,1,0,0.104415,403035
262144,64,8,0,1,0.0960187,388956
262144,64,8,0,0,0.104415,386179
262144,64,16,1,1,0.098323,412844
262144,64,16,1,0,0.10647,406077
262144,64,16,0,1,0.098323,392708
262144,64,16,0,0,0.10647,390029
262144,64,32,1,1,0.0989205,413225
262144,64,32,1,0,0.107016,406686
262144,64,32,0,1,0.0989205,393681
262144,64,32,0,0,0.107016,391142
262144,128,2,1,1,0.0733327,373841
262144,128,2,1,0,0.0792525,368856
262144,128,2,0,1,0.0733327,352017
262144,128,2,0,0,0.0792525,348536
262144,128,4,1,1,0.0768235,378949
262144,128,4,1,0,0.0817674,373671
262144,128,4,0,1,0.0768235,357701
262144,128,4,0,0,0.0817674,354375
262144,128,8,1,1,0.0787323,381241
262144,128,8,1,0,0.0835171,376424
262144,128,8,0,1,0.0787323,360809
262144,128,8,0,0,0.0835171,357608
262144,128,16,1,1,0.0796394,382950
262144,128,16,1,0,0.084407,378169
262144,128,16,0,1,0.0796394,362286
262144,128,16,0,0,0.084407,359169
262144,128,32,1,1,0.0801639,384076
262144,128,32,1,0,0.0849659,379223
262144,128,32,0,1,0.0801639,363140
262144,128,32,0,0,0.0849659,359967
262144,256,2,1,1,0.0649024,354906
262144,256,2,1,0,0.0697215,351417
262144,256,2,0,1,0.0649024,338290
262144,256,2,0,0,0.0697215,335769
262144,256,4,1,1,0.0673227,358143
262144,256,4,1,0,0.0711402,354711
262144,256,4,0,1,0.0673227,342231
262144,256,4,0,0,0.0711402,339919
262144,256,8,1,1,0.0678687,358608
262144,256,8,1,0,0.0716045,355347
262144,256,8,0,1,0.0678687,343120
262144,256,8,0,0,0.0716045,340883
262144,256,16,1,1,0.0677784,358069
262144,256,16,1,0,0.0712219,355036
262144,256,16,0,1,0.0677784,342973
262144,256,16,0,0,0.0712219,340860
262144,256,32,1,1,0.0679933,358379
262144,256,32,1,0,0.0713165,355142
262144,256,32,0,1,0.0679933,343323
262144,256,32,0,0,0.0713165,341102
1048576,32,2,1,1,0.0637502,336414
1048576,32,2,1,0,0.0709855,329739
1048576,32,2,0,1,0.0637502,336414
1048576,32,2,0,0,0.0709855,329739
1048576,32,4,1,1,0.0637502,336414
1048576,32,4,1,0,0.0709855,329739
1048576,32,4,0,1,0.0637502,336414
1048576,32,4,0,0,0.0709855,329739
1048576,32,8,1,1,0.0637502,336414
1048576,32,8,1,0,0.0709855,329739
1048576,32,8,0,1,0.0637502,336414
1048576,32,8,0,0,0.0709855,329739
1048576,32,16,1,1,0.0637502,336414
1048576,32,16,1,0,0.0709855,329739
1048576,32,16,0,1,0.0637502,336414
1048576,32,16,0,0,0.0709855,329739
1048576,32,32,1,1,0.0637502,336414
1048576,32,32,1,0,0.0709855,329739
1048576,32,32,0,1,0.0637502,336414
1048576,32,32,0,0,0.0709855,329739
1048576,64,2,1,1,0.0323716,285321
1048576,64,2,1,0,0.0362623,284392
1048576,64,2,0,1,0.0323716,285321
1048576,64,2,0,0,0.0362623,284392
1048576,64,4,1,1,0.0323716,285321
1048576,64,4,1,0,0.0362623,284392
1048576,64,4,0,1,0.0323716,285321
1048576,64,4,0,0,0.0362623,284392
1048576,64,8,1,1,0.0323716,285321
1048576,64,8,1,0,0.0362623,284392
1048576,64,8,0,1,0.0323716,285321
1048576,64,8,0,0,0.0362623,284392
1048576,64,16,1,1,0.0323716,285321
1048576,64,16,1,0,0.0362623,284392
1048576,64,16,0,1,0.0323716,285321
1048576,64,16,0,0,0.0362623,284392
1048576,64,32,1,1,0.0323716,285321
1048576,64,32,1,0,0.0362623,284392
1048576,64,32,0,1,0.0323716,285321
1048576,64,32,0,0,0.0362623,284392
1048576,128,2,1,1,0.0163535,259239
1048576,128,2,1,0,0.0181892,258804
1048576,128,2,0,1,0.0163535,259239
1048576,128,2,0,0,0.0181892,258804
1048576,128,4,1,1,0.0163535,259239
1048576,128,4,1,0,0.0181892,258804
1048576,128,4,0,1,0.0163535,259239
1048576,128,4,0,0,0.0181892,258804
1048576,128,8,1,1,0.0163535,259239
1048576,128,8,1,0,0.0181892,258804
1048576,128,8,0,1,0.0163535,259239
1048576,128,8,0,0,0.0181892,258804
1048576,128,16,1,1,0.0163535,259239
1048576,128,16,1,0,0.0181892,258804
1048576,128,16,0,1,0.0163535,259239
1048576,128,16,0,0,0.0181892,258804
1048576,128,32,1,1,0.0163535,259239
1048576,128,32,1,0,0.0181892,258804
1048576,128,32,0,1,0.0163535,259239
1048576,128,32,0,0,0.0181892,258804
1048576,256,2,1,1,0.00824123,246030
1048576,256,2,1,0,0.00895486,245864
1048576,256,2,0,1,0.00824123,246030
1048576,256,2,0,0,0.00895486,245864
1048576,256,4,1,1,0.00824123,246030
1048576,256,4,1,0,0.00895486,245864
1048576,256,4,0,1,0.00824123,246030
1048576,256,4,0,0,0.00895486,245864
1048576,256,8,1,1,0.00824123,246030
1048576,256,8,1,0,0.00895486,245864
1048576,256,8,0,1,0.00824123,246030
1048576,256,8,0,0,0.00895486,245864
1048576,256,16,1,1,0.00824123,246030
1048576,256,16,1,0,0.00895486,245864
1048576,256,16,0,1,0.00824123,246030
1048576,256,16,0,0,0.00895486,245864
1048576,256,32,1,1,0.00824123,246030
1048576,256,32,1,0,0.00895486,245864
1048576,256,32,0,1,0.00824123,246030
1048576,256,32,0,0,0.00895486,245864
